n=34 before optimization: 
[[0.         0.        ]
 [0.90972222 0.96527778]
 [0.91666667 0.58333333]
 [0.92361111 0.20138889]
 [0.93055556 0.81944444]
 [0.9375     0.4375    ]
 [0.94444444 0.05555556]
 [0.95138889 0.67361111]
 [0.95833333 0.29166667]
 [0.96527778 0.90972222]
 [0.97222222 0.52777778]
 [0.97916667 0.14583333]
 [0.98611111 0.76388889]
 [0.99305556 0.38194444]]

n=144 after optimization:
[[6.83489840e-06 4.27200285e-06]
 [6.95128257e-03 6.18059829e-01]
 [1.38957418e-02 2.36115380e-01]
 [2.08401633e-02 8.54170940e-01]
 [2.77846435e-02 4.72226497e-01]
 [3.47290623e-02 9.02820591e-02]
 [4.16735045e-02 7.08337607e-01]
 [4.86179438e-02 3.26393155e-01]
 [5.55623955e-02 9.44448720e-01]
 [6.25068273e-02 5.62504292e-01]
 [6.94512773e-02 1.80559829e-01]
 [7.63957282e-02 7.98615398e-01]
 [8.33401694e-02 4.16670942e-01]
 [9.02846096e-02 3.47264982e-02]
 [9.72290555e-02 6.52782053e-01]
 [1.04173510e-01 2.70837600e-01]
 [1.11117942e-01 8.88893157e-01]
 [1.18062398e-01 5.06948724e-01]
 [1.25006841e-01 1.25004286e-01]
 [1.31951279e-01 7.43059830e-01]
 [1.38895721e-01 3.61115381e-01]
 [1.45840178e-01 9.79170933e-01]
 [1.52784615e-01 5.97226491e-01]
 [1.59729050e-01 2.15282055e-01]
 [1.66673501e-01 8.33337604e-01]
 [1.73617943e-01 4.51393162e-01]
 [1.80562395e-01 6.94487285e-02]
 [1.87506838e-01 6.87504272e-01]
 [1.94451288e-01 3.05559838e-01]
 [2.01395726e-01 9.23615362e-01]
 [2.08340177e-01 5.41670959e-01]
 [2.15284607e-01 1.59726493e-01]
 [2.22229059e-01 7.77782054e-01]
 [2.29173499e-01 3.95837614e-01]
 [2.36117954e-01 1.38931667e-02]
 [2.43062389e-01 6.31948718e-01]
 [2.50006833e-01 2.50004282e-01]
 [2.56951282e-01 8.68059816e-01]
 [2.63895721e-01 4.86115375e-01]
 [2.70840161e-01 1.04170945e-01]
 [2.77784611e-01 7.22226503e-01]
 [2.84729066e-01 3.40282054e-01]
 [2.91673506e-01 9.58337604e-01]
 [2.98617964e-01 5.76393170e-01]
 [3.05562392e-01 1.94448724e-01]
 [3.12506835e-01 8.12504275e-01]
 [3.19451281e-01 4.30559841e-01]
 [3.26395727e-01 4.86153776e-02]
 [3.33340187e-01 6.66670905e-01]
 [3.40284615e-01 2.84726500e-01]
 [3.47229046e-01 9.02782039e-01]
 [3.54173501e-01 5.20837610e-01]
 [3.61117950e-01 1.38893159e-01]
 [3.68062391e-01 7.56948720e-01]
 [3.75006835e-01 3.75004265e-01]
 [3.81951282e-01 9.93059829e-01]
 [3.88895720e-01 6.11115392e-01]
 [3.95840168e-01 2.29170939e-01]
 [4.02784616e-01 8.47226507e-01]
 [4.09729053e-01 4.65282051e-01]
 [4.16673492e-01 8.33376156e-02]
 [4.23617949e-01 7.01393159e-01]
 [4.30562392e-01 3.19448722e-01]
 [4.37506834e-01 9.37504261e-01]
 [4.44451281e-01 5.55559821e-01]
 [4.51395727e-01 1.73615390e-01]
 [4.58340167e-01 7.91670940e-01]
 [4.65284617e-01 4.09726501e-01]
 [4.72229058e-01 2.77820477e-02]
 [4.79173499e-01 6.45837610e-01]
 [4.86117942e-01 2.63893165e-01]
 [4.93062390e-01 8.81948717e-01]
 [5.00006838e-01 5.00004274e-01]
 [5.06951282e-01 1.18059829e-01]
 [5.13895726e-01 7.36115376e-01]
 [5.20840167e-01 3.54170943e-01]
 [5.27784609e-01 9.72226501e-01]
 [5.34729051e-01 5.90282059e-01]
 [5.41673519e-01 2.08337613e-01]
 [5.48617945e-01 8.26393173e-01]
 [5.55562383e-01 4.44448726e-01]
 [5.62506833e-01 6.25042735e-02]
 [5.69451317e-01 6.80559830e-01]
 [5.76395721e-01 2.98615375e-01]
 [5.83340169e-01 9.16670943e-01]
 [5.90284619e-01 5.34726507e-01]
 [5.97229074e-01 1.52782048e-01]
 [6.04173488e-01 7.70837594e-01]
 [6.11117939e-01 3.88893172e-01]
 [6.18062395e-01 6.94871931e-03]
 [6.25006838e-01 6.25004263e-01]
 [6.31951279e-01 2.43059830e-01]
 [6.38895728e-01 8.61115339e-01]
 [6.45840162e-01 4.79170958e-01]
 [6.52784608e-01 9.72265034e-02]
 [6.59729055e-01 7.15282051e-01]
 [6.66673518e-01 3.33337590e-01]
 [6.73617950e-01 9.51393167e-01]
 [6.80562387e-01 5.69448718e-01]
 [6.87506847e-01 1.87504286e-01]
 [6.94451289e-01 8.05559826e-01]
 [7.01395716e-01 4.23615389e-01]
 [7.08340179e-01 4.16709416e-02]
 [7.15284610e-01 6.59726525e-01]
 [7.22229051e-01 2.77782053e-01]
 [7.29173482e-01 8.95837613e-01]
 [7.36117949e-01 5.13893180e-01]
 [7.43062387e-01 1.31948725e-01]
 [7.50006829e-01 7.50004275e-01]
 [7.56951288e-01 3.68059836e-01]
 [7.63895719e-01 9.86115369e-01]
 [7.70840168e-01 6.04170929e-01]
 [7.77784621e-01 2.22226511e-01]
 [7.84729060e-01 8.40282050e-01]
 [7.91673504e-01 4.58337609e-01]
 [7.98617954e-01 7.63931719e-02]
 [8.05562394e-01 6.94448712e-01]
 [8.12506806e-01 3.12504273e-01]
 [8.19451284e-01 9.30559822e-01]
 [8.26395728e-01 5.48615384e-01]
 [8.33340168e-01 1.66670930e-01]
 [8.40284606e-01 7.84726482e-01]
 [8.47229069e-01 4.02782059e-01]
 [8.54173501e-01 2.08376089e-02]
 [8.61117943e-01 6.38893166e-01]
 [8.68062393e-01 2.56948733e-01]
 [8.75006836e-01 8.75004272e-01]
 [8.81951280e-01 4.93059820e-01]
 [8.88895730e-01 1.11115361e-01]
 [8.95840164e-01 7.29170941e-01]
 [9.02784611e-01 3.47226488e-01]
 [9.09729049e-01 9.65282050e-01]
 [9.16673494e-01 5.83337602e-01]
 [9.23617943e-01 2.01393174e-01]
 [9.30562391e-01 8.19448717e-01]
 [9.37506844e-01 4.37504275e-01]
 [9.44451276e-01 5.55598124e-02]
 [9.51395719e-01 6.73615380e-01]
 [9.58340169e-01 2.91670938e-01]
 [9.65284613e-01 9.09726489e-01]
 [9.72229060e-01 5.27782044e-01]
 [9.79173511e-01 1.45837614e-01]
 [9.86117935e-01 7.63893163e-01]
 [9.93062385e-01 3.81948719e-01]]
